pathway	AD01	AD04	AD05	AD07	AD08	AD09	AD10	AD100	AD101	AD102	AD103	AD104	AD105	AD106	AD107	AD108	AD109	AD11	AD110	AD111	AD112	AD113	AD114	AD116	AD118	AD119	AD12	AD120	AD121	AD122	AD123	AD125	AD126	AD127	AD13	AD14	AD16	AD17	AD18	AD19	AD20	AD21	AD22	AD23	AD24	AD25	AD26	AD27	AD29	AD30	AD31	AD32	AD33	AD34	AD35	AD36	AD37	AD40	AD41	AD47	AD50	AD53	AD54	AD55	AD58	AD59	AD60	AD61	AD62	AD63	AD64	AD65	AD66	AD67	AD68	AD69	AD70	AD71	AD74	AD75	AD76	AD77	AD78	AD79	AD80	AD83	AD84	AD85	AD86	AD88	AD89	AD90	AD91	AD92	AD93	AD94	AD96	AD97	AD98	AD99	C01	C02	C03	C05	C07	C08	C09	C10	C11	C12	C13	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C39	C40	C42	C43	C44	C46	C49	C50	C51	C52	C54	C55	C57	C58	C59	C60	C61	C62	C63	C64	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82	C83	C84	C85	C86	C87	C88	Description
PWY-5863	1522.6264	8629.983	68.7018	5271.988	1114.865	3796.4449	364.4572	2018.3012	8844.654	10353.1904	808.4867	4034.4291	1883.1134	7557.3904	12176.4721	8461.2355	1250.4413	10925.3141	298.8625	3240.9734	15979.9555	11998.3728	3029.1363	12529.5312	8150.4065	11562.3903	34.2279	9815.3699	25131.6399	23346.294	2329.6782	2774.3455	12779.7142	20924.1973	2674.7999	4981.6256	214.6583	3935.8858	1869.9494	1157.2047	1768.3053	495.3985	3631.3728	231.9335	7442.2105	12359.4913	1340.6924	53.4279	1919.0537	332.3909	4200.1036	28066.879	986.8837	745.3572	1130.2534	1028.6085	6908.9288	537.3127	670.8913	1474.5496	12822.1977	1550.9988	10934.3532	492.4543	9518.0843	383.0868	2266.8264	13655.5282	6155.5926	547.3155	1187.0154	9077.7379	9011.1415	17901.4264	201.396	1180.9772	3244.2109	20852.3755	1302.3661	1970.5002	2243.4089	358.5485	5335.9913	27081.3651	19452.8806	3013.6887	1026.0891	2914.3664	8813.022	13048.087	4161.5483	1120.0199	11402.7457	26935.4715	26189.4071	17205.5071	10408.378	9523.1016	28061.2665	204.1413	1010.6048	21281.4959	956.5069	8052.7116	292.7461	3136.2797	6621.9696	1516.6492	3230.1052	2927.0328	2204.2029	5037.3471	642.2044	26893.3283	2552.1803	896.276	8803.5188	28014.5832	4757.9338	4523.1941	86.869	1895.9023	13762.301	1789.8519	734.6737	9595.3912	1031.8818	134.4209	1219.6341	5445.3517	1307.3273	8569.8966	782.2241	422.9501	31725.0398	1321.0992	4570.5516	1369.5736	611.6587	19384.8544	745.0617	420.3683	26213.8745	2068.3189	2837.9704	2552.8169	10580.4124	7445.5855	25735.6233	224.3958	1010.1569	1296.4437	2975.3677	10805.5979	3417.9002	806.3617	14343.0055	729.5784	438.8051	5424.3647	22018.8352	1195.6863	396.4566	872.8266	14952.0397	127.438	440.263	214.6761	853.0456	3991.5226	2140.7063	superpathway of phylloquinol biosynthesis
PWY-5896	1305.5066	9726.712	86.7214	5792.9488	1155.7003	4621.3832	535.3167	3271.3371	8900.7315	14451.9684	1615.7923	3915.183	1274.0059	8657.626	13605.957	1862.1801	1768.3957	11723.1046	241.2342	1795.5403	14103.7552	15022.2233	5021.916	14169.101	7606.8555	12131.9836	0.0	11733.6308	24223.4044	23927.191	3958.5068	2403.8269	14101.5805	21189.9176	3824.9552	5300.8359	347.6692	1015.7941	1993.4342	1782.8726	1412.3392	515.5799	2525.4578	377.8456	8343.2687	11209.1587	1477.3672	67.6815	2581.599	477.4176	5149.8388	26775.3079	1007.7231	860.9782	961.2245	1647.92	5747.6046	924.3449	1007.3193	1773.9902	13704.1329	859.4507	10855.5769	844.3259	2919.8051	681.5891	3084.7664	12666.2841	5719.9186	524.3421	1363.0951	9593.2815	235.9035	19786.7203	135.2181	2072.4813	2284.8698	17508.455	2455.0571	3862.4372	3365.3564	770.598	6558.9235	25702.2652	20834.171	3254.3008	1629.5434	4312.541	9190.9969	13453.9709	5326.9434	2156.887	12193.0102	19157.0883	21174.0895	20238.2883	14209.3849	13676.6865	7470.5189	361.4922	1084.2556	20513.4439	1186.5065	9084.4014	381.5799	3058.5453	6346.5484	813.8543	404.8198	1829.0205	2215.7459	4909.5866	1277.5027	25993.2409	2741.6171	1166.9874	8533.7132	26892.4971	5097.9492	4735.2458	128.2637	3029.1376	14748.9019	1906.705	764.4981	11513.2645	536.0338	0.0	965.0522	1687.3549	1725.1454	7910.7858	811.729	872.086	30669.483	2182.1028	5491.7026	2132.9454	979.9774	18760.8436	1287.8431	728.7211	27213.2534	2390.1774	1657.1522	2502.242	10381.942	9880.5644	24889.4567	472.6442	1755.6877	1689.0671	2666.4124	11634.263	3828.2018	842.8744	15580.2217	951.6569	803.0751	7128.3323	21158.2319	1663.2894	624.517	1369.4305	16052.8489	215.3522	818.6232	326.1841	1077.7181	4189.7709	2392.0365	superpathway of menaquinol-10 biosynthesis
PWY-5897	1679.4723	10182.9084	148.8908	5854.2174	1179.0393	4741.6419	586.7739	3456.4774	9005.7416	15026.4681	1901.4655	3950.9367	3891.6479	8817.7805	13775.4604	11510.9147	1889.3742	11820.3847	728.1415	6285.9372	17340.8215	15354.7166	5436.5331	14338.8608	8731.2662	12207.7441	87.6368	12155.9276	24327.7873	24050.002	4444.904	2435.8222	14214.6245	21292.2268	4012.4284	5515.0501	361.0492	4662.769	2192.1482	2034.2827	2324.9157	602.5811	4781.0062	453.7225	8382.0041	13139.7113	1899.5056	116.2827	2647.1241	607.1386	5220.4995	26890.7377	1998.1087	1099.4298	1229.7494	1678.2305	7997.3547	1017.8534	1069.6441	3410.448	13896.0248	2204.1922	11294.5733	924.4662	8996.5326	772.6831	3380.4741	12708.1136	7554.0403	621.5504	1383.5539	9870.435	12074.854	21236.6141	474.2302	2249.4873	4226.9674	21722.4777	2683.7038	4338.7056	3424.1739	906.8414	6676.6262	28447.0626	21116.5569	3320.6048	1678.1405	4542.4967	9261.2592	13543.9127	5459.5984	2351.06	12326.94	27629.7799	27002.4165	20589.9878	14431.689	14203.8982	30421.331	379.2167	1140.826	20578.1028	1422.9874	9268.1271	559.9601	3080.2927	6381.6724	2617.6722	3974.8619	4563.7532	2672.4772	4931.332	1422.9706	26091.7302	5006.7776	1779.065	8572.638	26989.1268	5131.1116	4785.851	147.0976	3288.5555	15132.0738	1931.5625	1265.7017	11785.3454	1511.2152	222.4142	1561.4633	5234.7026	1790.2734	8047.593	820.4211	1027.253	30768.1489	2360.134	5678.1841	2264.4536	1264.994	18826.0334	1409.5709	813.1488	27492.1066	2446.2255	4525.941	2640.8461	10446.6495	10466.4779	24975.8844	539.3202	1969.1781	1759.4738	2690.2261	11730.1654	3937.4094	1047.4116	15640.9074	1206.2969	882.6945	7166.4657	21239.8991	2361.195	639.7328	1499.0506	16127.2508	279.3633	912.9983	356.1295	1721.0579	4264.9339	2424.7277	superpathway of menaquinol-11 biosynthesis
PWY-5898	1679.4723	10182.9084	148.8908	5854.2174	1179.0393	4741.6419	586.7739	3456.4774	9005.7416	15026.4681	1901.4655	3950.9367	3891.6479	8817.7805	13775.4604	11510.9147	1889.3742	11820.3847	728.1415	6285.9372	17340.8215	15354.7166	5436.5331	14338.8608	8731.2662	12207.7441	87.6368	12155.9276	24327.7873	24050.002	4444.904	2435.8222	14214.6245	21292.2268	4012.4284	5515.0501	361.0492	4662.769	2192.1482	2034.2827	2324.9157	602.5811	4781.0062	453.7225	8382.0041	13139.7113	1899.5056	116.2827	2647.1241	607.1386	5220.4995	26890.7377	1998.1087	1099.4298	1229.7494	1678.2305	7997.3547	1017.8534	1069.6441	3410.448	13896.0248	2204.1922	11294.5733	924.4662	8996.5326	772.6831	3380.4741	12708.1136	7554.0403	621.5504	1383.5539	9870.435	12074.854	21236.6141	474.2302	2249.4873	4226.9674	21722.4777	2683.7038	4338.7056	3424.1739	906.8414	6676.6262	28447.0626	21116.5569	3320.6048	1678.1405	4542.4967	9261.2592	13543.9127	5459.5984	2351.06	12326.94	27629.7799	27002.4165	20589.9878	14431.689	14203.8982	30421.331	379.2167	1140.826	20578.1028	1422.9874	9268.1271	559.9601	3080.2927	6381.6724	2617.6722	3974.8619	4563.7532	2672.4772	4931.332	1422.9706	26091.7302	5006.7776	1779.065	8572.638	26989.1268	5131.1116	4785.851	147.0976	3288.5555	15132.0738	1931.5625	1265.7017	11785.3454	1511.2152	222.4142	1561.4633	5234.7026	1790.2734	8047.593	820.4211	1027.253	30768.1489	2360.134	5678.1841	2264.4536	1264.994	18826.0334	1409.5709	813.1488	27492.1066	2446.2255	4525.941	2640.8461	10446.6495	10466.4779	24975.8844	539.3202	1969.1781	1759.4738	2690.2261	11730.1654	3937.4094	1047.4116	15640.9074	1206.2969	882.6945	7166.4657	21239.8991	2361.195	639.7328	1499.0506	16127.2508	279.3633	912.9983	356.1295	1721.0579	4264.9339	2424.7277	superpathway of menaquinol-12 biosynthesis
PWY-5899	1679.4723	10182.9084	148.8908	5854.2174	1179.0393	4741.6419	586.7739	3456.4774	9005.7416	15026.4681	1901.4655	3950.9367	3891.6479	8817.7805	13775.4604	11510.9147	1889.3742	11820.3847	728.1415	6285.9372	17340.8215	15354.7166	5436.5331	14338.8608	8731.2662	12207.7441	87.6368	12155.9276	24327.7873	24050.002	4444.904	2435.8222	14214.6245	21292.2268	4012.4284	5515.0501	361.0492	4662.769	2192.1482	2034.2827	2324.9157	602.5811	4781.0062	453.7225	8382.0041	13139.7113	1899.5056	116.2827	2647.1241	607.1386	5220.4995	26890.7377	1998.1087	1099.4298	1229.7494	1678.2305	7997.3547	1017.8534	1069.6441	3410.448	13896.0248	2204.1922	11294.5733	924.4662	8996.5326	772.6831	3380.4741	12708.1136	7554.0403	621.5504	1383.5539	9870.435	12074.854	21236.6141	474.2302	2249.4873	4226.9674	21722.4777	2683.7038	4338.7056	3424.1739	906.8414	6676.6262	28447.0626	21116.5569	3320.6048	1678.1405	4542.4967	9261.2592	13543.9127	5459.5984	2351.06	12326.94	27629.7799	27002.4165	20589.9878	14431.689	14203.8982	30421.331	379.2167	1140.826	20578.1028	1422.9874	9268.1271	559.9601	3080.2927	6381.6724	2617.6722	3974.8619	4563.7532	2672.4772	4931.332	1422.9706	26091.7302	5006.7776	1779.065	8572.638	26989.1268	5131.1116	4785.851	147.0976	3288.5555	15132.0738	1931.5625	1265.7017	11785.3454	1511.2152	222.4142	1561.4633	5234.7026	1790.2734	8047.593	820.4211	1027.253	30768.1489	2360.134	5678.1841	2264.4536	1264.994	18826.0334	1409.5709	813.1488	27492.1066	2446.2255	4525.941	2640.8461	10446.6495	10466.4779	24975.8844	539.3202	1969.1781	1759.4738	2690.2261	11730.1654	3937.4094	1047.4116	15640.9074	1206.2969	882.6945	7166.4657	21239.8991	2361.195	639.7328	1499.0506	16127.2508	279.3633	912.9983	356.1295	1721.0579	4264.9339	2424.7277	superpathway of menaquinol-13 biosynthesis
PWY-5910	230.7623	25.968	1035.704	45.893	69.1916	3.9992	1717.5589	212.7802	528.1469	39.9129	45.211	760.814	17.9347	108.6641	494.6554	230.4746	1632.3957	67.3951	22858.2928	308.1848	479.0345	156.4809	429.5937	381.1773	1357.1847	3581.1979	23.6045	439.6576	240.4471	563.8107	964.0516	290.6335	3267.5856	992.1272	136.4184	563.8111	675.0599	1780.2883	1137.0365	582.5725	0.0	0.0	353.8602	13.6802	77.6925	422.7617	397.7495	1184.1492	1790.2767	33.5307	2535.2134	227.4892	1685.3719	15.8785	190.1528	496.2702	205.7055	23.8294	588.6844	7879.6568	1604.6489	21.6994	805.8964	399.0762	82.8208	1165.2714	376.1049	0.0	0.0	1603.0859	31.9128	486.2697	250.5949	57.897	14467.7265	0.0	133.547	243.7187	98.6696	3545.6555	434.7028	133.7451	4011.758	3497.1713	301.4542	33.895	892.7741	15.9862	43.8581	569.6935	182.5385	63.573	378.3859	261.389	1112.0432	3038.0281	12023.3625	8247.8582	2378.0216	1309.5994	2709.4817	30.7027	139.2766	224.0698	16.7856	0.0	0.0	305.2468	4116.5214	0.0	285.1242	5.9983	9.9681	0.0	2873.6875	1619.8871	151.011	0.0	25.972	57.7931	272.8051	47.7319	191.5748	9.9903	59.7144	1173.8475	413.4075	3.9794	3986.9156	5.9741	29.8765	495.4371	9.9795	22.7781	152.2126	34.0836	38.6943	0.0	9.981	1965.2215	242.1242	141.6223	327.2538	17.9834	19.7944	15.977	307.4332	164.3956	0.0	0.0	62.9445	21.9239	21.9654	1745.9874	2392.7072	1217.3526	204.4144	94.0748	5.9806	269.6706	135.3003	1194.0972	347.8794	62.8265	671.3027	5391.5494	0.0	18.9247	1327.7656	219.3901	148.7209	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)
PWY-5913	4060.5783	13865.4695	10771.2531	11899.6851	2810.0801	8512.0471	2525.8115	17689.3327	11691.4311	27712.0136	13196.6162	6499.554	12480.6257	20498.7038	22190.9888	17465.9446	23449.4774	16300.7545	272.3415	22851.113	12559.3335	25834.8591	11979.3382	20421.0174	13900.3167	21450.8971	4888.3554	24642.4815	32715.3808	32564.1304	14919.6262	4584.4852	19340.2006	25446.3227	5563.1449	9025.6069	4793.5013	10472.2212	12826.4411	9056.656	10162.8577	4530.4954	12220.287	1589.7729	15964.9049	14425.1696	12946.4795	16315.8561	21208.3634	14738.2435	20070.7626	34134.2324	8534.1203	1044.0265	3335.2292	43415.0362	11348.2987	6833.9478	3072.7829	10852.7014	18476.6397	7745.2373	15989.9004	22099.7945	12423.0994	6078.2369	23751.1222	18400.9273	18175.3403	3373.9648	2832.6508	15119.7184	17767.2928	25410.2367	2190.6736	6212.1004	13172.9338	24414.9109	19364.2349	22920.1992	12559.6343	13563.1417	10547.9458	34384.4691	36835.9629	10115.3391	4703.1036	10821.7372	19754.9174	17422.8654	12591.5639	32446.9398	18270.5501	30853.7739	29752.8317	29122.0871	16454.769	19189.3665	34566.3388	23832.4979	4585.8233	26114.1926	2390.1841	15427.2186	847.5021	6121.9727	9929.944	923.8883	3516.5925	11578.1718	6996.675	8914.7394	5639.9139	30705.8423	22680.6269	7077.3003	13137.983	31543.4718	8632.2508	13469.6855	656.7631	5165.0409	16163.9209	3955.7149	4646.6777	21062.0039	1291.9913	719.8454	5761.0426	8172.6834	11224.5312	11759.49	1635.8006	5922.7041	35920.9529	4563.4475	11814.3004	6439.1794	8052.3357	23202.4322	5819.2266	2424.5175	32087.3219	5719.0277	13014.7896	4943.875	16405.5216	20331.5433	33520.6305	2659.077	13106.3315	4240.5362	4554.5324	20911.3206	6576.6872	2871.0919	21829.3284	2103.4453	3750.2579	14523.3034	28051.8703	10967.5297	4919.4975	2186.8842	22274.3809	6655.2959	3955.585	818.3073	14891.1148	7231.6763	4342.3895	TCA cycle VI (obligate autotrophs)
PWY-5918	802.043	8478.6931	145.983	5651.2473	1443.6323	5192.5664	631.9635	2760.2509	11564.8704	8792.832	927.9278	5185.8984	369.846	9523.9798	12922.1085	738.6916	1782.5874	12644.3763	6975.3952	601.9982	15403.6975	11135.1552	3540.7205	13225.6696	6085.4207	13603.5868	210.6165	10454.5005	25448.2955	24750.8035	3523.2	3557.9072	14891.4594	22317.4153	2606.7117	4507.1384	405.658	513.2339	1870.9578	1220.4592	48.7173	333.656	818.2371	306.3399	7976.286	7587.039	190.8653	76.7441	2111.8561	115.1074	5677.8322	26244.46	1360.4266	1330.7697	712.4325	1373.6677	3192.07	796.8868	1241.0479	1053.3922	14395.7589	3851.2037	10344.4278	591.783	773.6537	567.0185	2603.7457	19535.9355	3326.089	997.264	1859.0827	10866.1394	553.2047	15635.8033	81.7101	1314.2274	584.466	10680.5711	1140.4515	1816.4268	3376.3628	364.508	9228.3359	20018.4939	19751.5986	3601.0203	2078.0299	3821.7126	9593.6932	15872.6143	5850.4115	693.6473	15033.8437	9038.9258	12945.3796	15745.457	11476.8584	7103.5924	2565.5093	236.3775	1839.2448	21668.915	1285.0137	7533.2281	273.242	4683.987	7904.3869	1918.3577	3993.3949	634.2966	2496.4472	7015.1631	633.4217	27635.2854	1554.1993	3112.7044	10230.2503	27463.4936	6757.444	4319.4801	0.0	2343.0685	15068.0256	2728.8676	242.1357	13534.176	1660.5704	27.5801	1807.5462	642.0705	1715.7268	8284.0646	1377.1675	382.0656	30020.4156	1897.5664	4665.9956	1477.9141	541.2123	18885.9476	906.4041	680.654	27459.7827	2938.2942	3827.1724	2995.4622	12625.3527	6465.548	24686.8329	484.7808	1639.0043	1606.6261	4707.719	14730.7918	2961.2527	1468.2415	17279.3691	587.5024	506.653	8945.2272	21159.4526	2112.8914	34.1952	1401.2	15674.3794	115.8559	699.9903	125.6414	1774.3799	4880.9559	3279.3486	superpathay of heme biosynthesis from glutamate
PWY-5920	23.4754	892.7313	33.749	183.1822	295.0918	1154.8173	164.0359	1233.5372	1474.6812	856.5495	15.7895	1046.9456	46.9383	813.2413	1704.4321	365.8709	954.8525	1450.4503	433.6625	307.2825	9593.224	290.1974	1570.3793	1251.9137	2276.4411	676.4473	7.7843	406.852	442.1058	1075.0549	1882.812	97.8129	1621.2488	2141.8397	970.8808	3197.0669	0.0	48.732	0.0	142.152	10.3704	0.0	328.4624	36.4241	298.7606	67.5027	46.891	27.3591	316.3031	54.628	55.5558	422.8192	238.9973	312.9902	49.3296	189.6179	529.5521	379.5605	407.5703	485.9921	7342.2912	1245.5964	2083.8869	0.0	53.024	250.7303	663.3424	0.0	27.8063	365.8624	278.954	408.0034	34.4467	135.0661	7.545	558.1783	27.0386	47.8223	606.4115	1138.9906	499.3534	43.7251	2357.953	1789.8349	528.9131	188.0629	50.9709	265.1888	11.9879	1100.7712	429.2578	357.346	1131.0741	7.9939	99.3727	2428.2932	130.9179	895.2236	27.7543	65.034	348.05	35.9533	725.1048	5317.2568	32.9266	98.4144	39.8419	125.8543	90.4213	296.7366	1481.8124	0.0	436.2297	0.0	611.3988	391.3052	228.0147	59.9006	133.8225	0.0	0.0	1665.0379	6600.4928	35.6458	120.536	345.0051	159.7955	0.0	544.871	343.912	1041.482	2995.9769	286.8077	196.6399	348.9194	1231.0124	2074.3832	962.2839	312.0172	605.0107	536.7414	350.2485	5059.5585	399.6619	630.3666	0.0	166.213	1081.9585	0.0	210.5612	419.9041	765.3635	361.3509	3232.826	1009.5373	295.8425	127.2807	126.7508	125.7233	0.0	0.0	716.5719	0.0	666.0336	1340.6604	35.2242	325.0083	30.1702	215.4849	2367.6599	674.3028	superpathway of heme biosynthesis from glycine
PWY-5971	2635.8243	2261.3982	1540.1627	8366.0159	3049.929	388.0476	1455.1777	5518.2258	13963.2306	3517.0457	12375.0512	9870.411	10418.6421	7863.5992	18096.2403	12644.0512	5050.5465	4789.6276	667.9278	9648.5299	13815.4485	10415.2262	10860.3751	15807.5378	13577.9924	25679.4575	5466.4011	12553.4317	12104.7662	22425.1018	13659.6233	7656.6927	28530.7143	24843.0213	8023.3517	11977.3712	528.6341	109.0046	3685.1265	3506.7541	221.2463	0.0	2982.7257	2659.488	4760.3277	8653.118	324.58	44.6431	4740.2419	392.7799	9621.7904	15857.5848	14741.5977	2091.3187	1002.8797	1969.3385	5534.9949	1616.53	2228.0363	19621.1992	28114.6404	1892.2277	15609.3493	2988.2668	856.2875	1323.1361	3004.2355	1146.0688	2683.0955	1777.1647	1926.6915	15718.9953	10917.3779	4733.9605	1357.0805	5921.8411	1122.3114	10284.0532	4276.8005	8765.9527	5903.8181	5211.2681	13362.5265	34442.2392	20955.8963	2757.8242	3661.6349	1466.4431	8227.5	17101.5395	8702.7785	1774.234	18827.7775	9628.2596	16596.7079	29351.2959	17619.2234	15821.2479	15619.5576	1330.1229	3680.6222	4343.6156	5982.3154	9950.4615	1362.5137	7867.3363	0.0	10444.2094	8725.8785	2332.2953	4241.4684	573.5981	917.7549	4108.8845	26516.3386	11985.9927	9466.83	0.0	2241.7663	5851.6323	164.2103	3176.5905	10477.2251	5169.9319	4319.5636	22739.047	6875.1059	1599.2617	2744.4299	1919.5967	1918.0314	17737.3809	767.2201	2705.5162	10820.2922	9298.9999	6012.8627	0.0	10252.7519	29358.4704	6762.1879	3129.2121	17700.0677	8232.3661	17546.3961	2765.4785	14092.5673	10292.4805	0.0	5521.25	3679.3543	4322.0941	1727.6539	22493.2767	8245.0777	2345.9906	9976.0738	1486.0348	4018.4859	10838.6974	10432.3332	11328.9245	264.9014	7994.368	16407.7639	558.8595	4701.2369	435.024	4281.123	11520.7481	6197.3686	palmitate biosynthesis II (bacteria and plants)
PWY-5973	12296.3816	22347.1665	14827.3394	27073.1981	32336.9716	24015.1558	15294.05	21241.3493	23953.9874	29386.5989	19459.0519	21518.1573	20344.9705	17494.8757	35201.9036	25572.1576	21622.1508	25858.9085	25216.3645	27063.1961	30950.2614	34458.8284	26737.2379	29506.1867	31768.4491	28806.5645	13217.5821	25839.2511	58300.8997	57034.8378	30116.1452	29894.144	37251.6147	38491.3364	18950.0489	18787.7368	11528.6386	10863.655	7016.5573	19610.7608	10576.2882	16426.2917	11322.5967	17474.3459	13934.6071	16849.5093	7775.5645	3973.1435	17848.8373	17521.3768	22501.2197	59428.4334	37424.7276	26335.783	20464.0055	2790.4788	21706.9342	17275.7516	21718.0499	16365.2097	37737.7612	48483.1557	27424.5906	12522.8671	24236.2369	24265.1055	12576.3729	32573.7187	11504.4672	20133.9556	22535.5544	26064.0598	22285.9709	35033.9565	18010.252	24302.6836	8293.6139	30575.5888	9459.4627	21508.9649	30977.4947	24559.9398	29604.913	52312.7249	50005.6754	27501.3808	25362.0078	26559.1022	24188.2215	28552.9177	30936.8296	13520.3258	33334.2498	32707.0584	37247.8132	41020.9212	23772.6958	27328.8308	38768.5435	4508.0801	23029.6949	38063.2427	31102.5241	28928.018	25308.4086	26195.1744	33846.5713	25569.6412	21926.6063	22486.6479	23479.4602	25288.3544	18219.4591	42378.9637	26625.6137	25048.7706	25914.8745	41331.7258	26614.8326	13520.258	19091.3461	23889.5301	29860.8356	24325.5914	18914.1338	31954.9269	21659.4474	17832.8403	18230.4167	22561.4682	30962.1983	31063.1368	22615.7975	26573.5658	39098.3857	21013.6111	20169.0098	19904.9723	18486.6218	34949.9782	16606.9671	17028.2863	44310.6083	42380.6253	28572.6439	24890.552	38636.3658	24928.2624	51019.1211	23957.4163	22939.8788	23417.75	19530.6876	35120.881	29988.1689	17733.0313	27514.3178	22318.0455	19389.3215	26335.6008	52371.2536	15956.5009	20565.2872	19280.2713	22959.246	15927.4505	15937.6785	14602.6946	14530.7262	26037.4946	18934.6822	cis-vaccenate biosynthesis
PWY-5989	1953.1647	13719.4665	1026.0941	10098.5293	3415.5904	9928.3396	915.5602	4092.6271	13752.1747	28923.4057	19744.1877	7641.3269	15567.306	11226.9061	21582.0455	12160.078	3564.6643	18241.6477	404.2763	13415.2481	14908.4505	27238.0833	11126.6924	22787.9011	10691.5409	25849.7646	4294.4609	14357.073	37406.7676	38061.6117	11705.7717	5012.2065	25625.4156	29117.9785	9268.4618	12572.9114	333.0197	65.7895	3009.5571	2485.7537	172.4928	518.6642	2240.236	2384.2338	11437.9184	7876.4686	204.3758	26.923	3404.0331	258.9985	7426.2281	40877.732	11538.228	4421.963	673.5018	1757.3542	5380.2792	1330.0655	1462.5914	19738.6643	28052.4162	8703.3779	15218.854	2236.5927	621.8373	853.1377	2267.2159	21246.1003	3794.7408	1146.0477	3266.9961	14115.5766	11434.7323	18097.2686	782.2032	8569.5909	809.1237	10216.2534	6557.3353	6626.7591	3762.1276	23135.6547	10827.1144	28338.6085	31614.44	4051.7573	2501.2144	13763.258	14394.1699	20860.8442	11799.1715	1252.4497	21002.3871	8422.2566	12063.9397	27320.0563	13124.127	12897.0115	11391.3643	935.2356	2467.399	27058.9913	6207.8815	14198.049	3816.7045	10886.2592	19045.1848	8188.526	6323.709	7797.9544	3358.6767	9733.0755	8805.5173	33525.2246	26859.3178	9432.5348	14594.653	33550.3982	11751.2468	8646.2584	101.6209	6766.8308	20255.161	5403.188	3684.1619	24829.5525	5460.6616	1161.8919	1786.3289	1604.7802	3527.1125	18326.6169	2159.5516	25471.4155	33996.3145	11191.6924	10139.2791	2697.9957	10751.1855	26906.9644	6387.5739	2692.8439	33839.2251	5939.0584	15660.3762	4067.0243	17979.0192	26579.6208	36028.2332	7169.3152	2891.9835	5447.0314	5361.0393	19853.8636	5719.9163	1553.9007	19517.0775	1189.8706	5842.0576	14309.097	35315.8229	10776.6207	164.1323	7900.1041	20144.3413	338.6326	4514.4556	609.983	3141.0511	10501.2136	6343.7552	stearate biosynthesis II (bacteria and plants)
PWY-6071	316.3702	7979.8566	15.9637	1687.6825	917.7715	3214.8355	33.6085	774.2677	1537.8468	937.5496	211.2325	1242.0637	0.0	43.6801	12685.533	99.5425	34.8193	980.2728	26.9929	13.4835	4536.5196	1989.6655	397.9605	6090.2879	3140.1951	12052.6367	0.0	391.8023	28683.3389	26036.8505	124.8788	1506.3605	12292.3669	104.4229	488.9247	0.0	0.0	0.0	605.1056	0.0	16.4923	89.8204	150.5668	0.0	4007.895	57.6679	0.0	0.0	563.1293	0.0	684.7432	28783.4254	0.0	14.105	0.0	847.6876	315.1668	83.8074	36.9995	129.6405	11349.0407	83.6118	36.3239	119.003	0.0	114.7254	236.6149	1839.777	16.0842	65.8382	980.1725	1383.4942	14.9196	14213.0728	10.2259	28.224	212.9068	7176.0008	390.2197	23.079	1869.9973	0.0	237.0298	15017.4022	22010.019	675.3306	991.7368	1249.8739	780.0922	3756.5337	3413.1821	30.6103	0.0	25.5437	1898.0259	14448.5138	2143.7955	125.2686	1111.5618	30.4929	628.6697	6778.0356	56.6946	3841.0776	0.0	3092.9174	6608.5269	47.6636	31.8309	164.4939	92.6298	254.2642	100.8842	4726.3291	61.9162	141.5734	2017.0473	3967.4423	2701.4873	1043.8194	0.0	839.7424	2017.8017	1239.4294	17.8636	11553.6864	30.7945	0.0	46.4075	0.0	790.2246	7951.9782	67.0962	102.1315	6242.8972	792.8438	2185.2124	867.9027	67.2855	21295.9632	70.4556	144.2772	588.6076	1981.1572	182.5241	1103.859	9454.2948	1839.4239	30003.2261	38.3459	219.4962	918.7179	446.1917	11424.3886	242.8871	55.677	1563.2133	33.0254	0.0	5494.6759	25165.6773	194.5654	0.0	319.8473	3713.693	46.3255	67.9463	0.0	0.0	279.3111	1701.5272	superpathway of phenylethylamine degradation
